,,,,,,,"annotation layer, embedded in images",
1802.04915,8,uri:{https://smartcontract.com/},https://smartcontract.com/,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with trailing slashes",embedded in footnotes,,
1802.04915,11,uri:{https://github.com/VelocityMarket/pricegeth},https://github.com/VelocityMarket/pricegeth,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,
1802.04915,9,uri:{https://github.com/VelocityMarket/pricegeth},https://github.com/VelocityMarket/pricegeth,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""","split across lines, embedded in footnotes",,
1802.04915,3,uri:{https://github.com/VelocityMarket/pricegeth},https://github.com/VelocityMarket/pricegeth,Introduction,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,
1802.04915,7,uri:{https://github.com/VelocityMarket/Options-Contract/commit/f3c8d0ef66b886c9ee8b432e92c83f3a4fb525ba},https://github.com/VelocityMarket/Options-Contract/commit/f3c8d0ef66b886c9ee8b432e92c83f3a4fb525ba,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""","split across lines, embedded in footnotes",,
1802.04915,13,uri:{https://github.com/VelocityMarket/Options-Contract},https://github.com/VelocityMarket/Options-Contract,Results and Discussion,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,
1802.04915,7,uri:{https://github.com/VelocityMarket/Options-Contract},https://github.com/VelocityMarket/Options-Contract,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""","split across lines, embedded in footnotes",,
1802.04915,11,uri:{https://github.com/slockit/DAO},https://github.com/slockit/DAO,Results and Discussion,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,
1802.04915,13,uri:{https://github.com/ethereum/EIPs/issues/150},https://github.com/ethereum/EIPs/issues/150,Results and Discussion,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,
1802.04915,9,uri:{ https://geth.ethereum.org }, https://geth.ethereum.org ,Methodology,"URLs with subdomain, ""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in footnotes,,
1802.04915,11,uri:{https://docs.oraclize.it/#security-tlsnotary-proof},https://docs.oraclize.it/#security-tlsnotary-proof,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in footnotes,,
1802.04915,3,uri:{http://www.oraclize.it/},http://www.oraclize.it/,Related Works & Background,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with trailing slashes",embedded in footnotes,,
1802.04915,5,uri:{http://ethdocs.org/en/latest/contracts-and-transactions/account-types-gas-and-transactions.html#what-is-gas},http://ethdocs.org/en/latest/contracts-and-transactions/account-types-gas-and-transactions.html#what-is-gas,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""","split across lines, embedded in footnotes",,
1802.04915,9,,https://www.bitstamp.net/api/v2/ticker/btcusd,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
1802.06772,51,uri:{https://www.humanconnectome.org/},https://www.humanconnectome.org/,Related Works & Background,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with trailing slashes",,,
1802.06772,144,uri:{https://github.com/parisots/SpectralParcellation},https://github.com/parisots/SpectralParcellation,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
1802.06772,257,uri:{https://en.wikipedia.org/wiki/File:DiffusionMRI_glyphs.png},https://en.wikipedia.org/wiki/File:DiffusionMRI_glyphs.png,References,"""URLs with paths, query Strings, and fragments"", ""URLs with schemes such as http, https, ftp, sftp, git, magnet""","split across lines, embedded in references",,
1802.06772,52,uri:{https://db.humanconnectome.org/},https://db.humanconnectome.org/,Related Works & Background,"URLs with trailing slashes, ""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain",split across pages,,
1802.06772,52,uri:{https://db.humanconnectome.org/},https://db.humanconnectome.org/,Header,"URLs with trailing slashes, ""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain",,Hidden in annotation layers,
1802.06772,257,uri:{https://commons.wikimedia.org/wiki/File:Skull_and_brain_normal_human.svg},https://commons.wikimedia.org/wiki/File:Skull_and_brain_normal_human.svg,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain","split across lines, embedded in references",,
1802.06772,257,uri:{https://commons.wikimedia.org/wiki/File:Blausen_0654_MRI_01.png},https://commons.wikimedia.org/wiki/File:Blausen_0654_MRI_01.png,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1802.06772,246,uri:{https://cnx.org/contents/FPtK1zmh@8.25:94lv8wHH@4/The-Central-Nervous-System},https://cnx.org/contents/FPtK1zmh@8.25:94lv8wHH@4/The-Central-Nervous-System,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1802.06772,238,uri:{http://www.humanconnectome.org/documentation/S900/HCP_S900_Release_Reference_Manual.pdf},http://www.humanconnectome.org/documentation/S900/HCP_S900_Release_Reference_Manual.pdf,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1802.06772,227,uri:{http://www.developingconnectome.org/},http://www.developingconnectome.org/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with trailing slashes","split across lines, embedded in references",,
1802.06772,217,uri:{http://biomedia.doc.ic.ac.uk/brain-parcellation-survey},http://biomedia.doc.ic.ac.uk/brain-parcellation-survey,Results and Discussion,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",,,
1802.06772,187,,www.nitrc.org/projects/niak/,Methodology,"URLs with trailing slashes, ""URLs with paths, query Strings, and fragments"", URLs without scheme",,,
1802.06772,103,,www.nitrc.org/projects/niak/,Methodology,"URLs with trailing slashes, ""URLs with paths, query Strings, and fragments"", URLs without scheme",,,
1802.06772,185,,www.doc.ic.ac.uk/~sa1013/codes.html,Methodology,"URLs with unicode characters, ""URLs with paths, query Strings, and fragments"", URLs with subdomain, URLs without scheme",,,
1802.06772,185,,www.doc.ic.ac.uk/~sparisot,Methodology,"URLs with unicode characters, ""URLs with paths, query Strings, and fragments"", URLs with subdomain, URLs without scheme",,,
1802.06772,187,,www.nil.wustl.edu/labs/petersen/Resources.html,Methodology,"""URLs with paths, query Strings, and fragments"", URLs with subdomain, URLs without scheme",,,
1802.06772,185,,cbica.upenn.edu/sbia/software/grasp/index.html ,Methodology,"URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs without scheme",,,
1802.06772,187,,balsa.wustl.edu/study/show/WG33,Methodology,"URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs without scheme",,,
1802.06772,187,,balsa.wustl.edu/study/show/WG33,Methodology,"URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs without scheme",,,
1802.06772,187,,db.humanconnectome.org/data/projects/HCP_500,Methodology,"URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs without scheme",,,
1802.06772,187,,www.princeton.edu/~chrisb/code.html,Methodology,"URLs with unicode characters, ""URLs with paths, query Strings, and fragments"", URLs without scheme",,,
1802.06772,187,,balsa.wustl.edu/study/show/RVVG,Methodology,"URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs without scheme",,,
1802.06772,187,,atlas.brainnetome.org,Methodology,"URLs with subdomain, URLs without scheme",,,
1802.06772,187,,www.nitrc.org/frs/?group_id=51,Methodology,"URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs without scheme",,,
1802.06772,187,,www.gin.cnrs.fr/AAL2_files/aal2_for_SPM12.tar.gz,Methodology,"URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs without scheme",,,
1802.06772,187,,db.humanconnectome.org,Methodology,"URLs with subdomain, URLs without scheme",,,
1802.06772,187,,db.humanconnectome.org,Methodology,"URLs with subdomain, URLs without scheme",,,
1802.09206,3,uri:{https://github.com/LindleyLentati/TempoNest},https://github.com/LindleyLentati/TempoNest,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,
1802.09206,3,uri:{https://github.com/jellis18/PAL2},https://github.com/jellis18/PAL2,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,
1802.09206,9,uri:{https://doi.org/10.5281/zenodo.251456},https://doi.org/10.5281/zenodo.251456,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
1802.09206,3,uri:{www.nanograv.org},www.nanograv.org,Methodology,URLs without scheme,embedded in footnotes,,
1802.09206,3,uri:{www.epta.eu.org},www.epta.eu.org,Methodology,"URLs without scheme, URLs with subdomain",embedded in footnotes,,
1802.09206,9,uri:{http://dx.doi.org/10.5281/zenodo.251456},http://dx.doi.org/10.5281/zenodo.251456,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.12942/lrr-2014-4},http://dx.doi.org/10.12942/lrr-2014-4,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.12942/lrr-2011-2},http://dx.doi.org/10.12942/lrr-2011-2,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1142/S0218271816300299},http://dx.doi.org/10.1142/S0218271816300299,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1142/S0218271811019335},http://dx.doi.org/10.1142/S0218271811019335,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1111/j.1365-2966.2012.21253.x},http://dx.doi.org/10.1111/j.1365-2966.2012.21253.x,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1111/j.1365-2966.2009.15481.x},http://dx.doi.org/10.1111/j.1365-2966.2009.15481.x,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1111/j.1365-2966.2006.10870.x},http://dx.doi.org/10.1111/j.1365-2966.2006.10870.x,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1111/j.1365-2966.2004.07931.x},http://dx.doi.org/10.1111/j.1365-2966.2004.07931.x,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1103/PhysRevD.93.084023},http://dx.doi.org/10.1103/PhysRevD.93.084023,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1103/PhysRevD.87.104021},http://dx.doi.org/10.1103/PhysRevD.87.104021,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1103/PhysRev.170.1186},http://dx.doi.org/10.1103/PhysRev.170.1186,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1093/mnras/stw483},http://dx.doi.org/10.1093/mnras/stw483,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1093/mnras/stw2759},http://dx.doi.org/10.1093/mnras/stw2759,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1093/mnras/stv2395},http://dx.doi.org/10.1093/mnras/stv2395,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1093/mnras/stu1948},http://dx.doi.org/10.1093/mnras/stu1948,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1093/mnras/stt2122},http://dx.doi.org/10.1093/mnras/stt2122,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,10,uri:{http://dx.doi.org/10.1093/mnras/sts097},http://dx.doi.org/10.1093/mnras/sts097,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1088/1742-6596/716/1/012014},http://dx.doi.org/10.1088/1742-6596/716/1/012014,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1088/0264-9381/30/22/224004},http://dx.doi.org/10.1088/0264-9381/30/22/224004,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1088/0264-9381/29/21/215018},http://dx.doi.org/10.1088/0264-9381/29/21/215018,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1088/0264-9381/29/18/184007},http://dx.doi.org/10.1088/0264-9381/29/18/184007,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1088/0264-9381/29/18/184006},http://dx.doi.org/10.1088/0264-9381/29/18/184006,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,10,uri:{http://dx.doi.org/10.1088/0264-9381/29/18/184004},http://dx.doi.org/10.1088/0264-9381/29/18/184004,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1088/0264-9381/26/7/073001},http://dx.doi.org/10.1088/0264-9381/26/7/073001,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1088/0004-637X/813/1/65},http://dx.doi.org/10.1088/0004-637X/813/1/65,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,10,uri:{http://dx.doi.org/10.1088/0004-637X/809/1/41},http://dx.doi.org/10.1088/0004-637X/809/1/41,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1088/0004-637X/794/1/21},http://dx.doi.org/10.1088/0004-637X/794/1/21,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1088/0004-637X/783/2/130},http://dx.doi.org/10.1088/0004-637X/783/2/130,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1088/0004-637X/743/2/102},http://dx.doi.org/10.1088/0004-637X/743/2/102,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1086/592401},http://dx.doi.org/10.1086/592401,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1086/587738},http://dx.doi.org/10.1086/587738,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1086/529576},http://dx.doi.org/10.1086/529576,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1086/497109},http://dx.doi.org/10.1086/497109,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1086/185920},http://dx.doi.org/10.1086/185920,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1086/150803},http://dx.doi.org/10.1086/150803,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1051/0004-6361/201629272},http://dx.doi.org/10.1051/0004-6361/201629272,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1051/0004-6361/201321556},http://dx.doi.org/10.1051/0004-6361/201321556,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1051/0004-6361/201015659},http://dx.doi.org/10.1051/0004-6361/201015659,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1046/j.1365-8711.1998.01282.x},http://dx.doi.org/10.1046/j.1365-8711.1998.01282.x,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1038/nature12917},http://dx.doi.org/10.1038/nature12917,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1007/s11433-016-0087-6},http://dx.doi.org/10.1007/s11433-016-0087-6,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1007/s10569-015-9639-y},http://dx.doi.org/10.1007/s10569-015-9639-y,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://dx.doi.org/10.1002/2015RS005877},http://dx.doi.org/10.1002/2015RS005877,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,1,uri:{http://arxiv.org/abs/1802.09206v1},http://arxiv.org/abs/1802.09206v1,Header,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
1802.09206,9,uri:{http://arxiv.org/abs/1801.08999},http://arxiv.org/abs/1801.08999,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://arxiv.org/abs/1801.01837},http://arxiv.org/abs/1801.01837,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://arxiv.org/abs/1509.05446},http://arxiv.org/abs/1509.05446,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://arxiv.org/abs/1402.5594},http://arxiv.org/abs/1402.5594,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2017MNRAS.465...76M},http://adsabs.harvard.edu/abs/2017MNRAS.465...76M,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2016RaSc...51.1060L},http://adsabs.harvard.edu/abs/2016RaSc...51.1060L,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2016PhRvD..93h4023S},http://adsabs.harvard.edu/abs/2016PhRvD..93h4023S,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2016MNRAS.458.3341D},http://adsabs.harvard.edu/abs/2016MNRAS.458.3341D,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2016MNRAS.455.1751R},http://adsabs.harvard.edu/abs/2016MNRAS.455.1751R,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2016IJMPD..2530029K},http://adsabs.harvard.edu/abs/2016IJMPD..2530029K,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2016A%26A...595A...1G},http://adsabs.harvard.edu/abs/2016A%26A...595A...1G,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs with escape characters",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2015CeMDA.123..325F},http://adsabs.harvard.edu/abs/2015CeMDA.123..325F,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2015aska.confE..36K},http://adsabs.harvard.edu/abs/2015aska.confE..36K,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2015ApJ...813...65T},http://adsabs.harvard.edu/abs/2015ApJ...813...65T,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,10,uri:{http://adsabs.harvard.edu/abs/2015ApJ...809...41Z},http://adsabs.harvard.edu/abs/2015ApJ...809...41Z,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2014Natur.505..520R},http://adsabs.harvard.edu/abs/2014Natur.505..520R,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2014MNRAS.445.3133P},http://adsabs.harvard.edu/abs/2014MNRAS.445.3133P,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2014MNRAS.437.3004L},http://adsabs.harvard.edu/abs/2014MNRAS.437.3004L,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1802.09206,9,uri:{http://adsabs.harvard.edu/abs/2014LRR....17....4W},http://adsabs.harvard.edu/abs/2014LRR....17....4W,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
